Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;03/04/2020;>50-60%;1;12252023;56%
Guarulhos;SP;3518800;03/04/2020;>50-60%;1;1379182;54%
Campinas;SP;3509502;03/04/2020;>50-60%;1;1204073;53%
São Bernardo do Campo;SP;3548708;03/04/2020;>50-60%;1;838936;55%
São José dos Campos;SP;3549904;03/04/2020;>50-60%;1;721944;55%
Santo André;SP;3547809;03/04/2020;>50-60%;1;718773;56%
Ribeirão Preto;SP;3543402;03/04/2020;>40-50%;1;703293;50%
Osasco;SP;3534401;03/04/2020;>50-60%;1;698418;56%
Sorocaba;SP;3552205;03/04/2020;>50-60%;1;679378;52%
Mauá;SP;3529401;03/04/2020;>50-60%;1;472912;56%
São José do Rio Preto;SP;3549805;03/04/2020;>40-50%;1;460671;47%
Mogi das Cruzes;SP;3530607;03/04/2020;>50-60%;1;445842;57%
Santos;SP;3548500;03/04/2020;>50-60%;1;433311;54%
Diadema;SP;3513801;03/04/2020;>50-60%;1;423884;57%
Jundiaí;SP;3525904;03/04/2020;>40-50%;1;418962;49%
Piracicaba;SP;3538709;03/04/2020;>50-60%;1;404142;51%
Carapicuíba;SP;3510609;03/04/2020;>50-60%;1;400927;56%
Bauru;SP;3506003;03/04/2020;>40-50%;1;376818;48%
Estado de São Paulo;;;03/04/2020;>50-60%;1;;54%
Americana;SP;3501608;03/04/2020;>50-60%;1;239597;53%
Amparo;SP;3501905;03/04/2020;>50-60%;1;72195;56%
Araçatuba;SP;3502804;03/04/2020;>40-50%;1;197016;47%
Araraquara;SP;3503208;03/04/2020;>40-50%;1;236072;49%
Araras;SP;3503307;03/04/2020;>50-60%;1;134236;52%
Arujá;SP;3503901;03/04/2020;>50-60%;1;89824;55%
Assis;SP;3504008;03/04/2020;>50-60%;1;104386;53%
Atibaia;SP;3504107;03/04/2020;>50-60%;1;142761;57%
Avaré;SP;3504503;03/04/2020;>50-60%;1;90655;55%
Barretos;SP;3505500;03/04/2020;>50-60%;1;122098;53%
Barueri;SP;3505708;03/04/2020;>40-50%;1;274182;49%
Bebedouro;SP;3506102;03/04/2020;>60-70%;1;77496;62%
Birigui;SP;3506508;03/04/2020;>50-60%;1;123638;55%
Botucatu;SP;3507506;03/04/2020;>50-60%;1;146497;54%
Bragança Paulista;SP;3507605;03/04/2020;>50-60%;1;168668;51%
Caçapava;SP;3508504;03/04/2020;>60-70%;1;94263;62%
Caieiras;SP;3509007;03/04/2020;>50-60%;1;101470;54%
Cajamar;SP;3509205;03/04/2020;>50-60%;1;76801;57%
Campo Limpo Paulista;SP;3509601;03/04/2020;>50-60%;1;84650;57%
Caraguatatuba;SP;3510500;03/04/2020;>60-70%;1;121532;62%
Catanduva;SP;3511102;03/04/2020;>40-50%;1;121862;47%
Cotia;SP;3513009;03/04/2020;>50-60%;1;249210;57%
Cruzeiro;SP;3513405;03/04/2020;>60-70%;1;82238;67%
Cubatão;SP;3513504;03/04/2020;>40-50%;1;130705;47%
Embu das Artes;SP;3515004;03/04/2020;>50-60%;1;273726;55%
Ferraz de Vasconcelos;SP;3515707;03/04/2020;>40-50%;1;194276;48%
Franca;SP;3516200;03/04/2020;>40-50%;1;353187;50%
Francisco Morato;SP;3516309;03/04/2020;>50-60%;1;175844;53%
Franco da Rocha;SP;3516408;03/04/2020;>50-60%;1;154489;55%
Guaratinguetá;SP;3518404;03/04/2020;>50-60%;1;121798;58%
Guarujá;SP;3518701;03/04/2020;>50-60%;1;320459;57%
Hortolândia;SP;3519071;03/04/2020;>40-50%;1;230851;48%
Ibiúna;SP;3519709;03/04/2020;>60-70%;1;78878;63%
Indaiatuba;SP;3520509;03/04/2020;>50-60%;1;251627;55%
Itanhaém;SP;3522109;03/04/2020;>60-70%;1;101816;62%
Itapecerica da Serra;SP;3522208;03/04/2020;>50-60%;1;175693;60%
Itapetininga;SP;3522307;03/04/2020;>50-60%;1;163901;55%
Itapeva;SP;3522406;03/04/2020;>50-60%;1;94354;52%
Itapevi;SP;3522505;03/04/2020;>50-60%;1;237700;55%
Itapira;SP;3522604;03/04/2020;>50-60%;1;74773;56%
Itaquaquecetuba;SP;3523107;03/04/2020;>50-60%;1;370821;58%
Itatiba;SP;3523404;03/04/2020;>50-60%;1;120858;51%
Itu;SP;3523909;03/04/2020;>50-60%;1;173939;53%
Jaboticabal;SP;3524303;03/04/2020;>50-60%;1;77263;54%
Jacareí;SP;3524402;03/04/2020;>50-60%;1;233662;57%
Jandira;SP;3525003;03/04/2020;>50-60%;1;124937;55%
Jaú;SP;3525300;03/04/2020;>50-60%;1;150252;53%
Leme;SP;3526704;03/04/2020;>50-60%;1;103391;57%
Limeira;SP;3526902;03/04/2020;>40-50%;1;306114;47%
Lins;SP;3527108;03/04/2020;>50-60%;1;78013;51%
Lorena;SP;3527207;03/04/2020;>60-70%;1;88706;64%
Mairiporã;SP;3528502;03/04/2020;>60-70%;1;100179;62%
Marília;SP;3529005;03/04/2020;>40-50%;1;238882;50%
Matão;SP;3529302;03/04/2020;>50-60%;1;83170;51%
Mogi Guaçu;SP;3530706;03/04/2020;>50-60%;1;151888;55%
Mogi Mirim;SP;3530805;03/04/2020;>50-60%;1;93189;56%
Ourinhos;SP;3534708;03/04/2020;>50-60%;1;113542;52%
Paulínia;SP;3536505;03/04/2020;>50-60%;1;109424;51%
Pindamonhangaba;SP;3538006;03/04/2020;>60-70%;1;168328;60%
Pirassununga;SP;3539301;03/04/2020;>50-60%;1;76409;60%
Poá;SP;3539806;03/04/2020;>50-60%;1;117452;59%
Praia Grande;SP;3541000;03/04/2020;>50-60%;1;325073;54%
Presidente Prudente;SP;3541406;03/04/2020;>40-50%;1;228743;45%
Ribeirão Pires;SP;3543303;03/04/2020;>50-60%;1;123393;59%
Rio Claro;SP;3543907;03/04/2020;>50-60%;1;206424;54%
Salto;SP;3545209;03/04/2020;>50-60%;1;118663;53%
Santa Bárbara d'Oeste;SP;3545803;03/04/2020;>50-60%;1;193475;51%
Santana de Parnaíba;SP;3547304;03/04/2020;>50-60%;1;139447;58%
São Caetano do Sul;SP;3548807;03/04/2020;>50-60%;1;161127;55%
São Carlos;SP;3548906;03/04/2020;>50-60%;1;251983;56%
São João da Boa Vista;SP;3549102;03/04/2020;>50-60%;1;91211;60%
São Roque;SP;3550605;03/04/2020;>50-60%;1;91016;59%
São Sebastião;SP;3550704;03/04/2020;>70%;1;88980;72%
São Vicente;SP;3551009;03/04/2020;>50-60%;1;365798;59%
Sertãozinho;SP;3551702;03/04/2020;>50-60%;1;125815;58%
Sumaré;SP;3552403;03/04/2020;>40-50%;1;282441;49%
Suzano;SP;3552502;03/04/2020;>50-60%;1;297637;58%
Taboão da Serra;SP;3552809;03/04/2020;>50-60%;1;289664;54%
Tatuí;SP;3554003;03/04/2020;>50-60%;1;121766;55%
Taubaté;SP;3554102;03/04/2020;>50-60%;1;314924;56%
Ubatuba;SP;3555406;03/04/2020;>60-70%;1;90799;70%
Valinhos;SP;3556206;03/04/2020;>50-60%;1;129193;55%
Várzea Paulista;SP;3556503;03/04/2020;>50-60%;1;121838;51%
Vinhedo;SP;3556701;03/04/2020;>50-60%;1;78728;57%
Votorantim;SP;3557006;03/04/2020;>50-60%;1;122480;54%
Votuporanga;SP;3557105;03/04/2020;>50-60%;1;94547;58%
