"uf","MUNICIPIO","ESTIMATIVA2019","tipo","longitude","latitude","cod_uf","IDH","espvida","gini","t_agua","rdpc","AR_MUN_2019","densidade"
"AC","Acrelândia",15256,"cidade",-66.897166,-9.825808,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Assis Brasil",7417,"cidade",-69.573794,-10.929765,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Brasiléia",26278,"cidade",-68.749696,-10.994994,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Bujari",10266,"cidade",-67.955029,-9.815277,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Capixaba",11733,"cidade",-67.686006,-10.566031,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Cruzeiro do Sul",88376,"cidade",-72.675582,-7.627625,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Epitaciolândia",18411,"cidade",-68.734109,-11.018771,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Feijó",34780,"cidade",-70.350973,-8.170536,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Jordão",8317,"cidade",-71.897391,-9.430912,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Mâncio Lima",18977,"cidade",-72.899708,-7.616575,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Manoel Urbano",9459,"cidade",-69.267862,-8.832911,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Marechal Thaumaturgo",18867,"cidade",-72.799704,-8.938983,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Plácido de Castro",19761,"cidade",-67.137133,-10.28064,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Porto Acre",18504,"cidade",-67.547815,-9.581378,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Porto Walter",11982,"cidade",-72.753747,-8.263233,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Rio Branco",407319,"cidade",-67.824348,-9.97499,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Rodrigues Alves",18930,"cidade",-72.661015,-7.738638,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Santa Rosa do Purus",6540,"cidade",-70.49025,-9.446515,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Sena Madureira",45848,"cidade",-68.671278,-9.063499,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Senador Guiomard",23024,"cidade",-67.736185,-10.149686,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Tarauacá",42567,"cidade",-70.772154,-8.156975,NA,NA,NA,NA,NA,NA,NA,NA
"AC","Xapuri",19323,"cidade",-68.496857,-10.651598,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,"cidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Água Branca",20196,"cidade",-37.937988,-9.261996,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Anadia",17545,"cidade",-36.307783,-9.684886,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Arapiraca",231747,"cidade",-36.661471,-9.754866,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Atalaia",47185,"cidade",-36.008552,-9.511898,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Barra de Santo Antônio",15932,"cidade",-35.510083,-9.402297,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Barra de São Miguel",8322,"cidade",-35.905667,-9.83842,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Batalha",18232,"cidade",-37.133014,-9.674195,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Belém",4344,"cidade",-36.490399,-9.570472,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Belo Monte",6704,"cidade",-37.277014,-9.822718,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Boca da Mata",27281,"cidade",-36.212498,-9.643082,NA,NA,NA,NA,NA,NA,NA,NA
"AL","Branquinha",10494,"cidade",-36.016152,-9.23342,NA,NA,NA,NA,NA,NA,NA,NA
