Município1,UF1,Data,Avg. Índice De Isolamento
AMERICANA,SP,5/21/2020,44%
AMERICANA,SP,5/20/2020,43%
AMERICANA,SP,5/19/2020,44%
AMERICANA,SP,5/18/2020,45%
AMERICANA,SP,5/17/2020,50%
AMERICANA,SP,5/16/2020,46%
AMERICANA,SP,5/15/2020,43%
AMERICANA,SP,5/14/2020,43%
AMERICANA,SP,5/13/2020,43%
AMERICANA,SP,5/12/2020,43%
AMERICANA,SP,5/11/2020,44%
AMERICANA,SP,5/10/2020,51%
AMERICANA,SP,5/9/2020,47%
AMERICANA,SP,5/8/2020,42%
AMERICANA,SP,5/7/2020,43%
AMERICANA,SP,5/6/2020,43%
AMERICANA,SP,5/5/2020,44%
AMERICANA,SP,5/4/2020,45%
AMERICANA,SP,5/3/2020,56%
AMERICANA,SP,5/2/2020,50%
AMERICANA,SP,5/1/2020,54%
AMERICANA,SP,4/30/2020,43%
AMERICANA,SP,4/29/2020,44%
AMERICANA,SP,4/28/2020,45%
AMERICANA,SP,4/27/2020,45%
AMERICANA,SP,4/26/2020,57%
AMERICANA,SP,4/25/2020,50%
AMERICANA,SP,4/24/2020,45%
AMERICANA,SP,4/23/2020,45%
AMERICANA,SP,4/22/2020,45%
AMERICANA,SP,4/21/2020,55%
AMERICANA,SP,4/20/2020,48%
AMERICANA,SP,4/19/2020,58%
AMERICANA,SP,4/18/2020,49%
AMERICANA,SP,4/17/2020,45%
AMERICANA,SP,4/16/2020,47%
AMERICANA,SP,4/15/2020,47%
AMERICANA,SP,4/14/2020,48%
AMERICANA,SP,4/13/2020,47%
AMERICANA,SP,4/12/2020,58%
AMERICANA,SP,4/11/2020,53%
AMERICANA,SP,4/10/2020,57%
AMERICANA,SP,4/9/2020,46%
AMERICANA,SP,4/8/2020,49%
AMERICANA,SP,4/7/2020,50%
AMERICANA,SP,4/6/2020,50%
AMERICANA,SP,4/5/2020,58%
AMERICANA,SP,4/4/2020,58%
AMERICANA,SP,4/3/2020,53%
AMERICANA,SP,4/2/2020,53%
AMERICANA,SP,4/1/2020,54%
AMERICANA,SP,3/31/2020,54%
AMERICANA,SP,3/30/2020,54%
AMERICANA,SP,3/29/2020,59%
AMERICANA,SP,3/28/2020,56%
AMERICANA,SP,3/27/2020,52%
AMERICANA,SP,3/26/2020,54%
AMERICANA,SP,3/25/2020,54%
AMERICANA,SP,3/24/2020,53%
AMERICANA,SP,3/23/2020,51%
AMERICANA,SP,3/22/2020,56%
AMERICANA,SP,3/21/2020,57%
AMERICANA,SP,3/20/2020,43%
AMERICANA,SP,3/19/2020,42%
AMERICANA,SP,3/18/2020,41%
AMERICANA,SP,3/17/2020,39%
AMERICANA,SP,3/13/2020,34%
AMERICANA,SP,3/12/2020,31%
AMERICANA,SP,3/6/2020,34%
AMERICANA,SP,3/5/2020,35%
AMPARO,SP,5/21/2020,45%
AMPARO,SP,5/20/2020,44%
AMPARO,SP,5/19/2020,44%
AMPARO,SP,5/18/2020,45%
AMPARO,SP,5/17/2020,52%
AMPARO,SP,5/16/2020,47%
AMPARO,SP,5/15/2020,49%
AMPARO,SP,5/14/2020,49%
AMPARO,SP,5/13/2020,50%
AMPARO,SP,5/12/2020,50%
AMPARO,SP,5/11/2020,50%
AMPARO,SP,5/10/2020,57%
AMPARO,SP,5/9/2020,51%
AMPARO,SP,5/8/2020,48%
AMPARO,SP,5/7/2020,50%
AMPARO,SP,5/6/2020,50%
AMPARO,SP,5/5/2020,50%
AMPARO,SP,5/4/2020,50%
AMPARO,SP,5/3/2020,62%
AMPARO,SP,5/2/2020,56%
AMPARO,SP,5/1/2020,58%
AMPARO,SP,4/30/2020,49%
AMPARO,SP,4/29/2020,51%
AMPARO,SP,4/28/2020,51%
AMPARO,SP,4/27/2020,51%
AMPARO,SP,4/26/2020,63%
AMPARO,SP,4/25/2020,55%
AMPARO,SP,4/24/2020,51%
AMPARO,SP,4/23/2020,51%
AMPARO,SP,4/22/2020,51%
AMPARO,SP,4/21/2020,60%
AMPARO,SP,4/20/2020,54%
AMPARO,SP,4/19/2020,63%
AMPARO,SP,4/18/2020,57%
AMPARO,SP,4/17/2020,51%
AMPARO,SP,4/16/2020,52%
AMPARO,SP,4/15/2020,53%
AMPARO,SP,4/14/2020,52%
AMPARO,SP,4/13/2020,53%
AMPARO,SP,4/12/2020,63%
AMPARO,SP,4/11/2020,59%
AMPARO,SP,4/10/2020,65%
AMPARO,SP,4/9/2020,51%
AMPARO,SP,4/8/2020,54%
AMPARO,SP,4/7/2020,52%
AMPARO,SP,4/6/2020,54%
AMPARO,SP,4/5/2020,61%
AMPARO,SP,4/4/2020,59%
AMPARO,SP,4/3/2020,56%
AMPARO,SP,4/2/2020,56%
AMPARO,SP,4/1/2020,57%
AMPARO,SP,3/31/2020,57%
AMPARO,SP,3/30/2020,54%
AMPARO,SP,3/29/2020,60%
AMPARO,SP,3/28/2020,56%
AMPARO,SP,3/27/2020,55%
AMPARO,SP,3/26/2020,54%
AMPARO,SP,3/25/2020,55%
AMPARO,SP,3/24/2020,55%
AMPARO,SP,3/23/2020,55%
AMPARO,SP,3/22/2020,58%
AMPARO,SP,3/21/2020,62%
AMPARO,SP,3/20/2020,48%
AMPARO,SP,3/19/2020,47%
AMPARO,SP,3/18/2020,46%
AMPARO,SP,3/17/2020,45%
AMPARO,SP,3/13/2020,40%
AMPARO,SP,3/12/2020,38%
AMPARO,SP,3/6/2020,40%
AMPARO,SP,3/5/2020,41%
ARAÇATUBA,SP,5/21/2020,40%
ARAÇATUBA,SP,5/20/2020,40%
ARAÇATUBA,SP,5/19/2020,40%
ARAÇATUBA,SP,5/18/2020,42%
ARAÇATUBA,SP,5/17/2020,46%
ARAÇATUBA,SP,5/16/2020,41%
ARAÇATUBA,SP,5/15/2020,39%
ARAÇATUBA,SP,5/14/2020,39%
ARAÇATUBA,SP,5/13/2020,38%
ARAÇATUBA,SP,5/12/2020,39%
ARAÇATUBA,SP,5/11/2020,39%
ARAÇATUBA,SP,5/10/2020,45%
ARAÇATUBA,SP,5/9/2020,42%
ARAÇATUBA,SP,5/8/2020,37%
ARAÇATUBA,SP,5/7/2020,39%
ARAÇATUBA,SP,5/6/2020,38%
ARAÇATUBA,SP,5/5/2020,39%
