"","state","city","place_type","date","confirmed","deaths","is_last","estimated_population_2019","city_ibge_code","confirmed_per_100k_inhabitants","death_rate","tempo","longitude","latitude"
"1","AC","Acrelândia","city","2020-05-30",158,1,"True",15256,1200013,1035.6581,0.0063,95,-66.897166,-9.825808
"2","AC","Assis Brasil","city","2020-05-30",25,2,"True",7417,1200054,337.0635,0.08,95,-69.573794,-10.929765
"3","AC","Brasiléia","city","2020-05-30",35,2,"True",26278,1200104,133.19126,0.0571,95,-68.749696,-10.994994
"4","AC","Bujari","city","2020-05-30",48,2,"True",10266,1200138,467.56283,0.0417,95,-67.955029,-9.815277
"5","AC","Capixaba","city","2020-05-30",40,1,"True",11733,1200179,340.91878,0.025,95,-67.686006,-10.566031
"6","AC","Cruzeiro do Sul","city","2020-05-30",670,7,"True",88376,1200203,758.12438,0.0104,95,-72.675582,-7.627625
"7","AC","Epitaciolândia","city","2020-05-30",60,0,"True",18411,1200252,325.89213,0,95,-68.734109,-11.018771
"8","AC","Feijó","city","2020-05-30",13,1,"True",34780,1200302,37.3778,0.0769,95,-70.350973,-8.170536
"9","AC","Jordão","city","2020-05-30",0,0,"True",8317,1200328,NA,0,95,-71.897391,-9.430912
"10","AC","Mâncio Lima","city","2020-05-30",24,0,"True",18977,1200336,126.46888,0,95,-72.899708,-7.616575
"11","AC","Manoel Urbano","city","2020-05-30",1,0,"True",9459,1200344,10.57194,0,95,-69.267862,-8.832911
"12","AC","Marechal Thaumaturgo","city","2020-05-30",83,0,"True",18867,1200351,439.92156,0,95,-72.799704,-8.938983
"13","AC","Plácido de Castro","city","2020-05-30",182,3,"True",19761,1200385,921.00602,0.0165,95,-67.137133,-10.28064
"14","AC","Porto Acre","city","2020-05-30",74,2,"True",18504,1200807,399.91353,0.027,95,-67.547815,-9.581378
"15","AC","Porto Walter","city","2020-05-30",2,0,"True",11982,1200393,16.6917,0,95,-72.753747,-8.263233
"16","AC","Rio Branco","city","2020-05-30",4020,114,"True",407319,1200401,986.94144,0.0284,95,-67.824348,-9.97499
