Município;UF;Cdufmun;DATA;Escala de cor;Número de registros;População;Índice de isolamento
São Paulo;SP;3550308;25/03/2020;>50-60%;1;12252023;55%
Guarulhos;SP;3518800;25/03/2020;>50-60%;1;1379182;54%
Campinas;SP;3509502;25/03/2020;>50-60%;1;1204073;55%
São Bernardo do Campo;SP;3548708;25/03/2020;>50-60%;1;838936;54%
São José dos Campos;SP;3549904;25/03/2020;>50-60%;1;721944;55%
Santo André;SP;3547809;25/03/2020;>50-60%;1;718773;55%
Ribeirão Preto;SP;3543402;25/03/2020;>50-60%;1;703293;52%
Osasco;SP;3534401;25/03/2020;>50-60%;1;698418;54%
Sorocaba;SP;3552205;25/03/2020;>50-60%;1;679378;52%
Mauá;SP;3529401;25/03/2020;>50-60%;1;472912;54%
São José do Rio Preto;SP;3549805;25/03/2020;>50-60%;1;460671;51%
Mogi das Cruzes;SP;3530607;25/03/2020;>50-60%;1;445842;56%
Santos;SP;3548500;25/03/2020;>50-60%;1;433311;54%
Diadema;SP;3513801;25/03/2020;>50-60%;1;423884;56%
Jundiaí;SP;3525904;25/03/2020;>50-60%;1;418962;51%
Piracicaba;SP;3538709;25/03/2020;>50-60%;1;404142;52%
Carapicuíba;SP;3510609;25/03/2020;>50-60%;1;400927;54%
Bauru;SP;3506003;25/03/2020;>40-50%;1;376818;48%
Estado de São Paulo;;;25/03/2020;>50-60%;1;;54%
Americana;SP;3501608;25/03/2020;>50-60%;1;239597;54%
Amparo;SP;3501905;25/03/2020;>50-60%;1;72195;55%
Araçatuba;SP;3502804;25/03/2020;>40-50%;1;197016;48%
Araraquara;SP;3503208;25/03/2020;>50-60%;1;236072;51%
Araras;SP;3503307;25/03/2020;>50-60%;1;134236;54%
Arujá;SP;3503901;25/03/2020;>50-60%;1;89824;54%
Assis;SP;3504008;25/03/2020;>50-60%;1;104386;54%
Atibaia;SP;3504107;25/03/2020;>50-60%;1;142761;56%
Avaré;SP;3504503;25/03/2020;>50-60%;1;90655;55%
Barretos;SP;3505500;25/03/2020;>50-60%;1;122098;52%
Barueri;SP;3505708;25/03/2020;>40-50%;1;274182;50%
Bebedouro;SP;3506102;25/03/2020;>60-70%;1;77496;63%
Birigui;SP;3506508;25/03/2020;>50-60%;1;123638;54%
Botucatu;SP;3507506;25/03/2020;>50-60%;1;146497;52%
Bragança Paulista;SP;3507605;25/03/2020;>50-60%;1;168668;51%
Caçapava;SP;3508504;25/03/2020;>60-70%;1;94263;62%
Caieiras;SP;3509007;25/03/2020;>50-60%;1;101470;53%
Cajamar;SP;3509205;25/03/2020;>50-60%;1;76801;56%
Campo Limpo Paulista;SP;3509601;25/03/2020;>50-60%;1;84650;55%
Caraguatatuba;SP;3510500;25/03/2020;>60-70%;1;121532;64%
Catanduva;SP;3511102;25/03/2020;>40-50%;1;121862;47%
Cotia;SP;3513009;25/03/2020;>50-60%;1;249210;57%
Cruzeiro;SP;3513405;25/03/2020;>60-70%;1;82238;65%
Cubatão;SP;3513504;25/03/2020;>40-50%;1;130705;46%
Embu das Artes;SP;3515004;25/03/2020;>50-60%;1;273726;52%
Ferraz de Vasconcelos;SP;3515707;25/03/2020;>50-60%;1;194276;54%
Franca;SP;3516200;25/03/2020;>50-60%;1;353187;54%
Francisco Morato;SP;3516309;25/03/2020;>50-60%;1;175844;52%
Franco da Rocha;SP;3516408;25/03/2020;>50-60%;1;154489;53%
Guaratinguetá;SP;3518404;25/03/2020;>50-60%;1;121798;58%
Guarujá;SP;3518701;25/03/2020;>50-60%;1;320459;57%
Hortolândia;SP;3519071;25/03/2020;>50-60%;1;230851;55%
Ibiúna;SP;3519709;25/03/2020;>60-70%;1;78878;66%
Indaiatuba;SP;3520509;25/03/2020;>50-60%;1;251627;57%
Itanhaém;SP;3522109;25/03/2020;>60-70%;1;101816;61%
Itapecerica da Serra;SP;3522208;25/03/2020;>50-60%;1;175693;59%
Itapetininga;SP;3522307;25/03/2020;>50-60%;1;163901;53%
Itapeva;SP;3522406;25/03/2020;>50-60%;1;94354;53%
Itapevi;SP;3522505;25/03/2020;>50-60%;1;237700;54%
Itapira;SP;3522604;25/03/2020;>50-60%;1;74773;56%
Itaquaquecetuba;SP;3523107;25/03/2020;>50-60%;1;370821;58%
Itatiba;SP;3523404;25/03/2020;>50-60%;1;120858;52%
Itu;SP;3523909;25/03/2020;>50-60%;1;173939;53%
Jaboticabal;SP;3524303;25/03/2020;>50-60%;1;77263;52%
Jacareí;SP;3524402;25/03/2020;>50-60%;1;233662;54%
Jandira;SP;3525003;25/03/2020;>50-60%;1;124937;51%
Jaú;SP;3525300;25/03/2020;>50-60%;1;150252;52%
Leme;SP;3526704;25/03/2020;>50-60%;1;103391;57%
Limeira;SP;3526902;25/03/2020;>40-50%;1;306114;48%
Lins;SP;3527108;25/03/2020;>50-60%;1;78013;51%
Lorena;SP;3527207;25/03/2020;>60-70%;1;88706;64%
Mairiporã;SP;3528502;25/03/2020;>60-70%;1;100179;62%
Marília;SP;3529005;25/03/2020;>50-60%;1;238882;50%
Matão;SP;3529302;25/03/2020;>50-60%;1;83170;52%
Mogi Guaçu;SP;3530706;25/03/2020;>50-60%;1;151888;55%
Mogi Mirim;SP;3530805;25/03/2020;>50-60%;1;93189;56%
Ourinhos;SP;3534708;25/03/2020;>50-60%;1;113542;51%
Paulínia;SP;3536505;25/03/2020;>50-60%;1;109424;56%
Pindamonhangaba;SP;3538006;25/03/2020;>60-70%;1;168328;61%
Pirassununga;SP;3539301;25/03/2020;>50-60%;1;76409;59%
Poá;SP;3539806;25/03/2020;>50-60%;1;117452;58%
Praia Grande;SP;3541000;25/03/2020;>50-60%;1;325073;55%
Presidente Prudente;SP;3541406;25/03/2020;>40-50%;1;228743;47%
Ribeirão Pires;SP;3543303;25/03/2020;>60-70%;1;123393;62%
Rio Claro;SP;3543907;25/03/2020;>50-60%;1;206424;53%
Salto;SP;3545209;25/03/2020;>50-60%;1;118663;53%
Santa Bárbara d'Oeste;SP;3545803;25/03/2020;>50-60%;1;193475;52%
Santana de Parnaíba;SP;3547304;25/03/2020;>50-60%;1;139447;59%
São Caetano do Sul;SP;3548807;25/03/2020;>50-60%;1;161127;55%
São Carlos;SP;3548906;25/03/2020;>50-60%;1;251983;59%
São João da Boa Vista;SP;3549102;25/03/2020;>60-70%;1;91211;60%
São Roque;SP;3550605;25/03/2020;>50-60%;1;91016;59%
São Sebastião;SP;3550704;25/03/2020;>70%;1;88980;72%
São Vicente;SP;3551009;25/03/2020;>50-60%;1;365798;58%
Sertãozinho;SP;3551702;25/03/2020;>50-60%;1;125815;56%
Sumaré;SP;3552403;25/03/2020;>40-50%;1;282441;50%
Suzano;SP;3552502;25/03/2020;>50-60%;1;297637;56%
Taboão da Serra;SP;3552809;25/03/2020;>50-60%;1;289664;54%
Tatuí;SP;3554003;25/03/2020;>50-60%;1;121766;54%
Taubaté;SP;3554102;25/03/2020;>50-60%;1;314924;57%
Ubatuba;SP;3555406;25/03/2020;>60-70%;1;90799;69%
Valinhos;SP;3556206;25/03/2020;>50-60%;1;129193;56%
Várzea Paulista;SP;3556503;25/03/2020;>50-60%;1;121838;51%
Vinhedo;SP;3556701;25/03/2020;>50-60%;1;78728;59%
Votorantim;SP;3557006;25/03/2020;>50-60%;1;122480;56%
Votuporanga;SP;3557105;25/03/2020;>50-60%;1;94547;57%
