"uf","MUNICIPIO","ESTIMATIVA2019","tipo","longitude","latitude","cod_uf","IDH","espvida","gini","t_agua","rdpc","AR_MUN_2019","densidade"
"AC","ACRELÂNDIA",15256,"cidade",-66.897166,-9.825808,"12",0.604,73.45,0.54,93.87,303.76,1807.953,8.43827245509148
"AC","ASSIS BRASIL",7417,"cidade",-69.573794,-10.929765,"12",0.588,71.19,0.61,80.31,291.33,4974.174,1.49110183921994
"AC","BRASILÉIA",26278,"cidade",-68.749696,-10.994994,"12",0.614,71.22,0.58,91.48,376.07,3916.505,6.70955354327391
"AC","BUJARI",10266,"cidade",-67.955029,-9.815277,"12",0.589,71.32,0.58,81.12,340.95,3034.869,3.38268307462365
"AC","CAPIXABA",11733,"cidade",-67.686006,-10.566031,"12",0.575,72.62,0.56,86.19,336.17,1701.973,6.89376388462097
"AC","CRUZEIRO DO SUL",88376,"cidade",-72.675582,-7.627625,"12",0.664,71.58,0.64,79.14,450.06,8779.407,10.0662835200601
"AC","EPITACIOLÂNDIA",18411,"cidade",-68.734109,-11.018771,"12",0.653,71.27,0.6,89.66,467.83,1654.769,11.1260242366155
"AC","FEIJÓ",34780,"cidade",-70.350973,-8.170536,"12",0.539,68.35,0.68,69.53,259.43,27975.427,1.24323392811842
"AC","JORDÃO",8317,"cidade",-71.897391,-9.430912,"12",0.469,68.83,0.71,46.28,178.03,5357.282,1.55246634394083
"AC","MÂNCIO LIMA",18977,"cidade",-72.899708,-7.616575,"12",0.625,71.17,0.61,80.26,295.5,5453.034,3.48008099711097
"AC","MANOEL URBANO",9459,"cidade",-69.267862,-8.832911,"12",0.551,71.04,0.59,80.41,307.7,10633.137,0.889577553641978
"AC","MARECHAL THAUMATURGO",18867,"cidade",-72.799704,-8.938983,"12",0.501,68.55,0.59,50.76,157.27,8191.691,2.30318746153877
"AC","PLÁCIDO DE CASTRO",19761,"cidade",-67.137133,-10.28064,"12",0.622,72.17,0.55,91.46,321.16,1943.85,10.1659078632611
"AC","PORTO ACRE",18504,"cidade",-67.547815,-9.581378,"12",0.576,71.24,0.6,84.45,319.71,2604.897,7.10354382534127
"AC","PORTO WALTER",11982,"cidade",-72.753747,-8.263233,"12",0.532,68.58,0.61,44.36,204.19,6443.829,1.85945343987247
"AC","RIO BRANCO",407319,"cidade",-67.824348,-9.97499,"12",0.727,72.85,0.59,94.09,744.67,8834.942,46.1031889060505
"AC","RODRIGUES ALVES",18930,"cidade",-72.661015,-7.738638,"12",0.567,69.18,0.63,71.48,200.58,3076.952,6.15219216939361
"AC","SANTA ROSA DO PURUS",6540,"cidade",-70.49025,-9.446515,"12",0.517,71.86,0.78,65.93,201.58,6145.612,1.06417391791086
"AC","SENA MADUREIRA",45848,"cidade",-68.671278,-9.063499,"12",0.603,73.59,0.54,82.48,320.8,23753.064,1.93019309003672
"AC","SENADOR GUIOMARD",23024,"cidade",-67.736185,-10.149686,"12",0.64,72.17,0.55,92.31,455.06,2322.041,9.91541493022733
"AC","TARAUACÁ",42567,"cidade",-70.772154,-8.156975,"12",0.539,68.21,0.65,60.4,251.53,20171.089,2.11029756499513
"AC","XAPURI",19323,"cidade",-68.496857,-10.651598,"12",0.599,71.38,0.58,86.75,382.24,5347.467,3.61348653483977
NA,NA,NA,"cidade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AL","ÁGUA BRANCA",20196,"cidade",-37.937988,-9.261996,"27",0.549,68.7,0.56,61.78,213,468.226,43.1330169618945
"AL","ANADIA",17545,"cidade",-36.307783,-9.684886,"27",0.568,70.35,0.53,61.62,239.53,186.134,94.2600492118581
"AL","ARAPIRACA",231747,"cidade",-36.661471,-9.754866,"27",0.649,71.82,0.55,94.68,423.28,345.655,670.457537139633
"AL","ATALAIA",47185,"cidade",-36.008552,-9.511898,"27",0.561,70.13,0.5,82.49,237.33,533.258,88.4843734177452
"AL","BARRA DE SANTO ANTÔNIO",15932,"cidade",-35.510083,-9.402297,"27",0.557,68.9,0.52,91.16,247.81,131.364,121.281325172802
"AL","BARRA DE SÃO MIGUEL",8322,"cidade",-35.905667,-9.83842,"27",0.615,71.02,0.55,90.49,422.78,74.247,112.085336781284
"AL","BATALHA",18232,"cidade",-37.133014,-9.674195,"27",0.594,70.1,0.49,70.93,265.62,315.87,57.7199480799063
"AL","BELÉM",4344,"cidade",-36.490399,-9.570472,"27",0.593,70.86,0.56,62.16,309.5,66.628,65.1978147325449
"AL","BELO MONTE",6704,"cidade",-37.277014,-9.822718,"27",0.517,68.49,0.65,40.13,187.77,335.047,20.0091330470053
"AL","BOCA DA MATA",27281,"cidade",-36.212498,-9.643082,"27",0.604,70.47,0.51,87.43,260.2,193.002,141.350866830396
"AL","BRANQUINHA",10494,"cidade",-36.016152,-9.23342,"27",0.513,66.96,0.42,81.68,221.93,168.048,62.4464438731791
"AL","CACIMBINHAS",10858,"cidade",-36.991082,-9.401212,"27",0.531,66.82,0.6,21.47,259.72,281.692,38.545645598739
"AL","CAJUEIRO",21264,"cidade",-36.155937,-9.399402,"27",0.562,66.45,0.49,90.12,232.85,94.357,225.356889260998
"AL","CAMPESTRE",6936,"cidade",-35.56847,-8.847228,"27",0.559,68.73,0.47,85.25,245.43,65.91,105.234410559854
"AL","CAMPO ALEGRE",57063,"cidade",-36.352461,-9.784512,"27",0.57,69.5,0.47,66.83,217.72,312.731,182.466720600132
"AL","CAMPO GRANDE",9558,"cidade",-36.792608,-9.955423,"27",0.524,69.35,0.58,84.83,181.54,170.144,56.175945081813
"AL","CANAPI",17722,"cidade",-37.5967,-9.119319,"27",0.506,68.11,0.6,28.02,183.83,602.778,29.4005421564822
"AL","CAPELA",17053,"cidade",-36.082583,-9.415041,"27",0.573,69.59,0.49,84.92,251.36,263.735,64.6596014939238
"AL","CARNEIROS",9081,"cidade",-37.377303,-9.484762,"27",0.526,67.56,0.54,60.09,199.58,101.853,89.1579040381727
"AL","CHÃ PRETA",7311,"cidade",-36.298334,-9.255605,"27",0.575,69.22,0.5,91.37,226.6,157.831,46.3216985256382
"AL","COITÉ DO NÓIA",10693,"cidade",-36.584493,-9.633484,"27",0.533,68.8,0.52,43.61,203.15,88.759,120.472290133958
"AL","COLÔNIA LEOPOLDINA",21698,"cidade",-35.721414,-8.918058,"27",0.517,66.55,0.53,74.62,242.28,207.935,104.349917041383
"AL","COQUEIRO SECO",5845,"cidade",-35.799377,-9.637147,"27",0.586,70.4,0.49,89.53,299.47,39.608,147.571197737831
"AL","CORURIPE",56933,"cidade",-36.171724,-10.127632,"27",0.626,71.12,0.52,91.44,315.85,897.8,63.4139006460236
"AL","CRAÍBAS",24219,"cidade",-36.769726,-9.617798,"27",0.525,66.22,0.53,63.6,199.54,278.879,86.8441151897418
"AL","DELMIRO GOUVEIA",52016,"cidade",-37.998676,-9.385336,"27",0.612,71.42,0.52,90.47,332.13,628.545,82.7562067950584
"AL","DOIS RIACHOS",11075,"cidade",-37.096502,-9.384645,"27",0.532,70.74,0.55,34.56,194.81,141.621,78.2016791295076
"AL","ESTRELA DE ALAGOAS",18205,"cidade",-36.764407,-9.390894,"27",0.534,68.19,0.51,33.69,196.92,260.772,69.8119430000153
"AL","FEIRA GRANDE",22166,"cidade",-36.681521,-9.898586,"27",0.533,69.17,0.53,77.36,193.07,175.906,126.010482871534
"AL","FELIZ DESERTO",4754,"cidade",-36.302788,-10.293491,"27",0.565,67.46,0.49,32.7,245.49,110.062,43.1938362014138
"AL","FLEXEIRAS",12790,"cidade",-35.713933,-9.272807,"27",0.527,66.59,0.47,66.76,213.44,333.756,38.3214084540802
"AL","GIRAU DO PONCIANO",40917,"cidade",-36.831592,-9.884041,"27",0.536,70.72,0.58,50.24,177.55,513.454,79.6897093020991
"AL","IBATEGUARA",15616,"cidade",-35.937325,-8.978232,"27",0.518,66.06,0.53,82.28,199.68,265.312,58.8590037389941
"AL","IGACI",25631,"cidade",-36.637191,-9.537678,"27",0.564,71.45,0.57,48.49,241.17,334.346,76.6601065961609
"AL","IGREJA NOVA",24499,"cidade",-36.659705,-10.123463,"27",0.568,71.23,0.65,80.07,254.34,427,57.3747072599532
"AL","INHAPI",18385,"cidade",-37.750871,-9.225936,"27",0.484,68.09,0.67,42.16,180.64,372.019,49.4195188955403
"AL","JACARÉ DOS HOMENS",5253,"cidade",-37.207636,-9.635446,"27",0.583,70.54,0.49,81.42,235.11,148.992,35.2569265463918
"AL","JACUÍPE",7021,"cidade",-35.459074,-8.83951,"27",0.548,70.32,0.46,68.66,219.52,208.738,33.6354664699288
"AL","JAPARATINGA",8361,"cidade",-35.263403,-9.087464,"27",0.57,69.1,0.52,79.03,260.92,85.356,97.9544495993252
"AL","JARAMATAIA",5770,"cidade",-37.004558,-9.662243,"27",0.552,67.08,0.48,64.73,219.1,105.416,54.7355240191242
"AL","JEQUIÁ DA PRAIA",11580,"cidade",NA,NA,"27",0.556,71.32,0.47,86.93,199.39,334.261,34.6435868976638
"AL","JOAQUIM GOMES",23993,"cidade",-35.747381,-9.132805,"27",0.531,70.82,0.5,73.62,190.23,298.17,80.4675185296978
