date,newCases
2020-02-25,1
2020-02-26,0
2020-02-27,0
2020-02-28,1
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,1
2020-03-05,3
2020-03-06,4
2020-03-07,3
2020-03-08,3
2020-03-09,0
2020-03-10,3
2020-03-11,11
2020-03-12,16
2020-03-13,10
2020-03-14,9
2020-03-15,71
2020-03-16,16
2020-03-17,12
2020-03-18,77
2020-03-19,45
2020-03-20,110
2020-03-21,63
2020-03-22,172
2020-03-23,114
2020-03-24,65
2020-03-25,52
2020-03-26,191
2020-03-27,170
2020-03-28,183
2020-03-29,45
2020-03-30,66
2020-03-31,822
2020-04-01,642
2020-04-02,525
2020-04-03,542
2020-04-04,418
2020-04-05,154
2020-04-06,246
2020-04-07,816
2020-04-08,1026
2020-04-09,772
2020-04-10,736
2020-04-11,203
2020-04-12,336
2020-04-13,140
2020-04-14,476
2020-04-15,1672
2020-04-16,525
2020-04-17,1273
2020-04-18,1053
2020-04-19,373
2020-04-20,313
2020-04-21,805
2020-04-22,529
2020-04-23,826
2020-04-24,1086
2020-04-25,2178
2020-04-26,711
2020-04-27,981
2020-04-28,2345
2020-04-29,2117
2020-04-30,2540
2020-05-01,1676
2020-05-02,800
2020-05-03,598
2020-05-04,415
2020-05-05,1866
2020-05-06,3800
2020-05-07,2075
2020-05-08,1902
2020-05-09,2581
2020-05-10,1033
2020-05-11,687
2020-05-12,1588
2020-05-13,3378
2020-05-14,3189
2020-05-15,4092
2020-05-16,2805
2020-05-17,1162
2020-05-18,721
2020-05-19,2929
2020-05-20,3864
2020-05-21,3880
2020-05-22,3132
2020-05-23,3687
2020-05-24,1603
2020-05-25,1464
2020-05-26,2392
2020-05-27,3466
2020-05-28,6382
2020-05-29,5691
2020-05-30,5586
2020-05-31,2556
2020-06-01,1598
2020-06-02,6999
2020-06-03,5188
2020-06-04,5717
2020-06-05,5365
2020-06-06,5984
2020-06-07,2524
2020-06-08,1520
2020-06-09,5545
2020-06-10,6178
2020-06-11,6204
2020-06-12,5380
2020-06-13,4975
2020-06-14,5327
2020-06-15,3258
2020-06-16,8825
2020-06-17,1232
2020-06-18,1111
2020-06-19,19030
2020-06-20,4135
2020-06-21,3392
2020-06-22,2788
2020-06-23,7502
2020-06-24,9347
2020-06-25,9765
2020-06-26,9921
2020-06-27,7073
2020-06-28,6156
2020-06-29,3408
2020-06-30,6235
2020-07-01,8555
2020-07-02,12244
2020-07-03,8523
2020-07-04,1828
2020-07-05,7649
2020-07-06,2891
2020-07-07,9638
2020-07-08,8657
2020-07-09,8350
2020-07-10,9395
2020-07-11,7780
2020-07-12,5107
2020-07-13,2610
2020-07-14,12000
2020-07-15,6569
2020-07-16,8872
2020-07-17,5367
2020-07-18,4612
2020-07-19,3022
2020-07-20,1385
2020-07-21,6235
2020-07-22,16777
2020-07-23,12561
2020-07-24,11211
2020-07-25,16263
2020-07-26,4501
2020-07-27,3672
2020-07-28,12647
2020-07-29,13896
2020-07-30,14809
2020-07-31,13298
2020-08-01,10014
2020-08-02,6367
2020-08-03,1533
2020-08-04,15371
2020-08-05,9676
2020-08-06,13405
2020-08-07,9709
2020-08-08,13352
2020-08-09,5395
2020-08-10,1289
2020-08-11,11147
2020-08-12,15619
2020-08-13,19274
2020-08-14,11667
2020-08-15,11408
2020-08-16,1963
2020-08-17,3172
2020-08-18,8865
2020-08-19,9847
2020-08-20,9451
2020-08-21,5132
2020-08-22,13284
2020-08-23,4885
2020-08-24,2351
2020-08-25,9190
2020-08-26,10465
2020-08-27,8318
2020-08-28,11756
2020-08-29,5213
2020-08-30,1982
2020-08-31,938
2020-09-01,10033
2020-09-02,11956
2020-09-03,11647
2020-09-04,7038
2020-09-05,8069
2020-09-06,2637
2020-09-07,1608
2020-09-08,1453
2020-09-09,7793
2020-09-10,8178
2020-09-11,8055
2020-09-12,7881
2020-09-13,1567
2020-09-14,1092
2020-09-15,7922
2020-09-16,8157
2020-09-17,7393
2020-09-18,7711
2020-09-19,7141
2020-09-20,3627
2020-09-21,2032
2020-09-22,8090
2020-09-23,6551
2020-09-24,6267
2020-09-25,6681
2020-09-26,5967
2020-09-27,1349
2020-09-28,905
2020-09-29,6377
2020-09-30,6109
2020-10-01,6097
2020-10-02,5608
2020-10-03,6096
2020-10-04,473
2020-10-05,677
2020-10-06,6260
2020-10-07,5916
2020-10-08,5649
2020-10-09,5786
2020-10-10,6626
2020-10-11,2844
2020-10-12,684
2020-10-13,685
2020-10-14,6031
2020-10-15,6553
2020-10-16,5627
2020-10-17,5394
2020-10-18,968
2020-10-19,437
2020-10-20,4923
2020-10-21,4299
2020-10-22,3678
2020-10-23,6702
2020-10-24,5614
2020-10-25,2725
2020-10-26,863
2020-10-27,5364
2020-10-28,5375
2020-10-29,5278
2020-10-30,4928
2020-10-31,2339
2020-11-01,1020
2020-11-02,648
2020-11-03,749
2020-11-04,4755
2020-11-05,2637
2020-11-06,0
2020-11-07,0
2020-11-08,0
2020-11-09,0
2020-11-10,21515
2020-11-11,3421
2020-11-12,5780
2020-11-13,6130
2020-11-14,4640
2020-11-15,1218
2020-11-16,737
2020-11-17,8698
