UF,Nome_UF,Mesorregião Geográfica,Nome_Mesorregião,Microrregião Geográfica,Nome_Microrregião,Município,Código Município Completo,Nome_Município
52,Goiás,03,Centro Goiano,010,Goiânia,00050,5200050,Abadia de Goiás
31,Minas Gerais,05,Triângulo Mineiro/Alto Paranaíba,019,Patrocínio,00104,3100104,Abadia dos Dourados
52,Goiás,04,Leste Goiano,012,Entorno de Brasília,00100,5200100,Abadiânia
31,Minas Gerais,06,Central Mineira,024,Três Marias,00203,3100203,Abaeté
15,Pará,04,Nordeste Paraense,011,Cametá,00107,1500107,Abaetetuba
23,Ceará,07,Sul Cearense,033,Brejo Santo,00101,2300101,Abaiara
29,Bahia,06,Centro Sul Baiano,023,Seabra,00108,2900108,Abaíra
29,Bahia,02,Vale São-Franciscano da Bahia,005,Paulo Afonso,00207,2900207,Abaré
41,Paraná,04,Norte Pioneiro Paranaense,015,Cornélio Procópio,00103,4100103,Abatiá
42,Santa Catarina,03,Serrana,009,Curitibanos,00051,4200051,Abdon Batista
15,Pará,06,Sudeste Paraense,017,Paragominas,00131,1500131,Abel Figueiredo
42,Santa Catarina,01,Oeste Catarinense,003,Xanxerê,00101,4200101,Abelardo Luz
31,Minas Gerais,12,Zona da Mata,061,Manhuaçu,00302,3100302,Abre Campo
26,Pernambuco,05,Metropolitana de Recife,017,Recife,00054,2600054,Abreu e Lima
17,Tocantins,01,Ocidental do Tocantins,003,Miracema do Tocantins,00251,1700251,Abreulândia
31,Minas Gerais,12,Zona da Mata,060,Ponte Nova,00401,3100401,Acaiaca
21,Maranhão,02,Oeste Maranhense,009,Imperatriz,00055,2100055,Açailândia
29,Bahia,04,Nordeste Baiano,017,Alagoinhas,00306,2900306,Acajutiba
15,Pará,04,Nordeste Paraense,012,Tomé-Açu,00206,1500206,Acará
23,Ceará,02,Norte Cearense,013,Baturité,00150,2300150,Acarape
23,Ceará,01,Noroeste Cearense,001,Litoral de Camocim e Acaraú,00200,2300200,Acaraú
24,Rio Grande do Norte,02,Central Potiguar,012,Seridó Oriental,00109,2400109,Acari
22,Piauí,04,Sudeste Piauiense,015,Alto Médio Canindé,00053,2200053,Acauã
43,Rio Grande do Sul,06,Sudoeste Rio-grandense,031,Campanha Meridional,00034,4300034,Aceguá
23,Ceará,04,Sertões Cearenses,021,Sertão de Senador Pompeu,00309,2300309,Acopiara
51,Mato Grosso,04,Centro-Sul Mato-grossense,016,Rosário Oeste,00102,5100102,Acorizal
12,Acre,02,Vale do Acre,004,Rio Branco,00013,1200013,Acrelândia
52,Goiás,05,Sul Goiano,014,Vale do Rio dos Bois,00134,5200134,Acreúna
24,Rio Grande do Norte,01,Oeste Potiguar,004,Vale do Açu,00208,2400208,Açu
31,Minas Gerais,08,Vale do Rio Doce,039,Ipatinga,00500,3100500,Açucena
35,São Paulo,08,Presidente Prudente,035,Adamantina,00105,3500105,Adamantina
52,Goiás,03,Centro Goiano,009,Anicuns,00159,5200159,Adelândia
35,São Paulo,01,São José do Rio Preto,004,São José do Rio Preto,00204,3500204,Adolfo
41,Paraná,10,Metropolitana de Curitiba,035,Cerro Azul,00202,4100202,Adrianópolis
29,Bahia,04,Nordeste Baiano,015,Ribeira do Pombal,00355,2900355,Adustina
26,Pernambuco,01,Sertão Pernambucano,003,Pajeú,00104,2600104,Afogados da Ingazeira
24,Rio Grande do Norte,02,Central Potiguar,009,Angicos,00307,2400307,Afonso Bezerra
32,Espírito Santo,03,Central Espírito-santense,007,Afonso Cláudio,00102,3200102,Afonso Cláudio
