confirmados;obitos;cod_cid_ibge;taxa_mortes;obitos_dia
2482;73;12;0.0294;6
4319;234;27;0.0542;13
22132;1491;13;0.0674;58
4310;136;16;0.0316;9
8636;326;29;0.0377;14
28112;1856;23;0.0660;108
4853;72;53;0.0148;6
7693;325;32;0.0422;23
1880;73;52;0.0388;0
15114;634;21;0.0419;30
5286;177;31;0.0335;10
693;17;50;0.0245;1
1090;32;51;0.0294;0
18929;1778;15;0.0939;386
5838;230;25;0.0394;11
22560;1834;26;0.0813;93
2852;91;22;0.0319;4
2519;133;41;0.0528;3
27805;3079;33;0.1107;227
2413;88;11;0.0365;5
1988;64;14;0.0322;4
4973;161;43;0.0324;1
5499;94;42;0.0171;3
3967;63;28;0.0159;4
69859;5363;35;0.0768;216
1646;38;17;0.0231;6
