"state","place_type","city","city_ibge_code","date","epidemiological_week","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","order_for_place","new_confirmed","new_deaths","tempo","id_municipio","municipio","latitude","longitude"
"AC","city","Acrelândia",1200013,"2020-07-20",30,15256,"True","False",247,1619.03513,"2020-07-20",0.0162,4,114,0,0,146,2,"Acrelândia",-9.825808,-66.897166
"AC","city","Assis Brasil",1200054,"2020-07-20",30,7417,"True","False",245,3303.22233,"2020-07-20",0.0204,5,81,0,0,146,3,"Assis Brasil",-10.929765,-69.573794
"AC","city","Brasiléia",1200104,"2020-07-20",30,26278,"True","False",618,2351.77715,"2020-07-20",0.0146,9,73,0,1,146,4,"Brasiléia",-10.994994,-68.749696
"AC","city","Bujari",1200138,"2020-07-20",30,10266,"True","False",290,2824.85876,"2020-07-20",0.0172,5,104,7,0,146,5,"Bujari",-9.815277,-67.955029
"AC","city","Capixaba",1200179,"2020-07-20",30,11733,"True","False",192,1636.41013,"2020-07-20",0.0365,7,74,0,0,146,6,"Capixaba",-10.566031,-67.686006
"AC","city","Cruzeiro do Sul",1200203,"2020-07-20",30,88376,"True","False",2465,2789.21879,"2020-07-20",0.0183,45,99,43,0,146,7,"Cruzeiro do Sul",-7.627625,-72.675582
"AC","city","Epitaciolândia",1200252,"2020-07-20",30,18411,"True","False",273,1482.80919,"2020-07-20",0.0256,7,75,2,0,146,8,"Epitaciolândia",-11.018771,-68.734109
"AC","city","Feijó",1200302,"2020-07-20",30,34780,"True","False",551,1584.24382,"2020-07-20",0.0145,8,80,42,0,146,9,"Feijó",-8.170536,-70.350973
"AC","city","Jordão",1200328,"2020-07-20",30,8317,"True","False",60,721.41397,"2020-07-20",0.0167,1,64,0,0,146,10,"Jordão",-9.430912,-71.897391
"AC","city","Mâncio Lima",1200336,"2020-07-20",30,18977,"True","False",272,1433.31401,"2020-07-20",0.0257,7,83,3,1,146,11,"Mâncio Lima",-7.616575,-72.899708
"AC","city","Manoel Urbano",1200344,"2020-07-20",30,9459,"True","False",79,835.18342,"2020-07-20",0.0253,2,69,0,0,146,12,"Manoel Urbano",-8.832911,-69.267862
"AC","city","Marechal Thaumaturgo",1200351,"2020-07-20",30,18867,"True","False",234,1240.26077,"2020-07-20",0.0043,1,70,0,0,146,13,"Marechal Thaumaturgo",-8.938983,-72.799704
"AC","city","Plácido de Castro",1200385,"2020-07-20",30,19761,"True","False",340,1720.5607,"2020-07-20",0.0176,6,106,1,0,146,14,"Plácido de Castro",-10.28064,-67.137133
"AC","city","Porto Acre",1200807,"2020-07-20",30,18504,"True","False",332,1794.20666,"2020-07-20",0.0331,11,114,0,0,146,15,"Porto Acre",-9.581378,-67.547815
"AC","city","Porto Walter",1200393,"2020-07-20",30,11982,"True","False",120,1001.50225,"2020-07-20",0,0,69,0,0,146,16,"Porto Walter",-8.263233,-72.753747
"AC","city","Rio Branco",1200401,"2020-07-20",30,407319,"True","False",8438,2071.59499,"2020-07-20",0.037,312,126,65,3,146,17,"Rio Branco",-9.97499,-67.824348
"AC","city","Rodrigues Alves",1200427,"2020-07-20",30,18930,"True","False",114,602.2187,"2020-07-20",0.0351,4,70,2,0,146,18,"Rodrigues Alves",-7.738638,-72.661015
"AC","city","Santa Rosa do Purus",1200435,"2020-07-20",30,6540,"True","False",173,2645.25994,"2020-07-20",0.0116,2,74,0,0,146,19,"Santa Rosa do Purus",-9.446515,-70.49025
"AC","city","Sena Madureira",1200500,"2020-07-20",30,45848,"True","False",843,1838.68435,"2020-07-20",0.0095,8,78,-2,0,146,21,"Sena Madureira",-9.063499,-68.671278
"AC","city","Senador Guiomard",1200450,"2020-07-20",30,23024,"True","False",312,1355.10771,"2020-07-20",0.0224,7,93,0,0,146,20,"Senador Guiomard",-10.149686,-67.736185
"AC","city","Tarauacá",1200609,"2020-07-20",30,42567,"True","False",928,2180.09256,"2020-07-20",0.0108,10,80,4,0,146,22,"Tarauacá",-8.156975,-70.772154
"AC","city","Xapuri",1200708,"2020-07-20",30,19323,"True","False",336,1738.86043,"2020-07-20",0.0119,4,83,0,0,146,23,"Xapuri",-10.651598,-68.496857
"AC","state","",12,"2020-07-20",30,881935,"True","False",17462,1979.96451,"2020-07-20",0.0266,465,126,167,5,146,NA,NA,-8.77,-70.55
"AL","city","Água Branca",2700102,"2020-07-20",30,20196,"True","False",44,217.86492,"2020-07-20",0,0,48,0,0,146,24,"Água Branca",-9.261996,-37.937988
"AL","city","Anadia",2700201,"2020-07-20",30,17545,"True","False",328,1869.47848,"2020-07-20",0.0122,4,89,1,0,146,25,"Anadia",-9.684886,-36.307783
"AL","city","Arapiraca",2700300,"2020-07-20",30,231747,"True","False",4279,1846.41009,"2020-07-20",0.018,77,94,2,2,146,26,"Arapiraca",-9.754866,-36.661471
"AL","city","Atalaia",2700409,"2020-07-20",30,47185,"True","False",458,970.64745,"2020-07-20",0.0284,13,86,1,0,146,27,"Atalaia",-9.511898,-36.008552
"AL","city","Barra de Santo Antônio",2700508,"2020-07-20",30,15932,"True","False",103,646.49761,"2020-07-20",0.068,7,89,0,0,146,28,"Barra de Santo Antônio",-9.402297,-35.510083
"AL","city","Barra de São Miguel",2700607,"2020-07-20",30,8322,"True","False",110,1321.79764,"2020-07-20",0.0455,5,83,-1,0,146,29,"Barra de São Miguel",-9.83842,-35.905667
"AL","city","Batalha",2700706,"2020-07-20",30,18232,"True","False",244,1338.30627,"2020-07-20",0.0246,6,83,0,0,146,30,"Batalha",-9.674195,-37.133014
"AL","city","Belém",2700805,"2020-07-20",30,4344,"True","False",39,897.79006,"2020-07-20",0.0256,1,60,0,0,146,31,"Belém",-9.570472,-36.490399
"AL","city","Belo Monte",2700904,"2020-07-20",30,6704,"True","False",20,298.32936,"2020-07-20",0.1,2,54,0,0,146,32,"Belo Monte",-9.822718,-37.277014
"AL","city","Boca da Mata",2701001,"2020-07-20",30,27281,"True","False",779,2855.46717,"2020-07-20",0.0193,15,97,0,1,146,33,"Boca da Mata",-9.643082,-36.212498
"AL","city","Branquinha",2701100,"2020-07-20",30,10494,"True","False",101,962.45474,"2020-07-20",0.0396,4,83,0,0,146,34,"Branquinha",-9.23342,-36.016152
"AL","city","Cacimbinhas",2701209,"2020-07-20",30,10858,"True","False",77,709.15454,"2020-07-20",0.026,2,73,0,0,146,35,"Cacimbinhas",-9.401212,-36.991082
"AL","city","Cajueiro",2701308,"2020-07-20",30,21264,"True","False",156,733.63431,"2020-07-20",0.0641,10,72,0,0,146,36,"Cajueiro",-9.399402,-36.155937
"AL","city","Campestre",2701357,"2020-07-20",30,6936,"True","False",49,706.45905,"2020-07-20",0.0612,3,75,0,0,146,37,"Campestre",-8.847228,-35.56847
"AL","city","Campo Alegre",2701407,"2020-07-20",30,57063,"True","False",817,1431.75087,"2020-07-20",0.0135,11,81,0,1,146,38,"Campo Alegre",-9.784512,-36.352461
"AL","city","Campo Grande",2701506,"2020-07-20",30,9558,"True","False",134,1401.96694,"2020-07-20",0.0075,1,76,0,0,146,39,"Campo Grande",-9.955423,-36.792608
"AL","city","Canapi",2701605,"2020-07-20",30,17722,"True","False",16,90.28326,"2020-07-20",0.1875,3,74,0,0,146,40,"Canapi",-9.119319,-37.5967
"AL","city","Capela",2701704,"2020-07-20",30,17053,"True","False",455,2668.15223,"2020-07-20",0.0088,4,91,0,0,146,41,"Capela",-9.415041,-36.082583
"AL","city","Carneiros",2701803,"2020-07-20",30,9081,"True","False",35,385.42011,"2020-07-20",0,0,67,0,0,146,42,"Carneiros",-9.484762,-37.377303
"AL","city","Chã Preta",2701902,"2020-07-20",30,7311,"True","False",23,314.59445,"2020-07-20",0,0,55,0,0,146,43,"Chã Preta",-9.255605,-36.298334
"AL","city","Coité do Nóia",2702009,"2020-07-20",30,10693,"True","False",103,963.24698,"2020-07-20",0.0097,1,75,0,0,146,44,"Coité do Nóia",-9.633484,-36.584493
"AL","city","Colônia Leopoldina",2702108,"2020-07-20",30,21698,"True","False",206,949.39626,"2020-07-20",0.034,7,81,0,0,146,45,"Colônia Leopoldina",-8.918058,-35.721414
"AL","city","Coqueiro Seco",2702207,"2020-07-20",30,5845,"True","False",140,2395.20958,"2020-07-20",0.0357,5,80,0,0,146,46,"Coqueiro Seco",-9.637147,-35.799377
"AL","city","Coruripe",2702306,"2020-07-20",30,56933,"True","False",1019,1789.82313,"2020-07-20",0.0206,21,83,2,0,146,47,"Coruripe",-10.127632,-36.171724
"AL","city","Craíbas",2702355,"2020-07-20",30,24219,"True","False",351,1449.27536,"2020-07-20",0.0114,4,73,0,0,146,48,"Craíbas",-9.617798,-36.769726
"AL","city","Delmiro Gouveia",2702405,"2020-07-20",30,52016,"True","False",414,795.90895,"2020-07-20",0.0242,10,88,0,2,146,49,"Delmiro Gouveia",-9.385336,-37.998676
"AL","city","Dois Riachos",2702504,"2020-07-20",30,11075,"True","False",85,767.49436,"2020-07-20",0,0,66,0,0,146,50,"Dois Riachos",-9.384645,-37.096502
"AL","city","Estrela de Alagoas",2702553,"2020-07-20",30,18205,"True","False",102,560.28564,"2020-07-20",0.0294,3,59,0,1,146,51,"Estrela de Alagoas",-9.390894,-36.764407
"AL","city","Feira Grande",2702603,"2020-07-20",30,22166,"True","False",216,974.4654,"2020-07-20",0.0093,2,66,0,0,146,52,"Feira Grande",-9.898586,-36.681521
"AL","city","Feliz Deserto",2702702,"2020-07-20",30,4754,"True","False",35,736.22213,"2020-07-20",0.0857,3,62,0,0,146,53,"Feliz Deserto",-10.293491,-36.302788
"AL","city","Flexeiras",2702801,"2020-07-20",30,12790,"True","False",168,1313.52619,"2020-07-20",0.0298,5,74,0,0,146,54,"Flexeiras",-9.272807,-35.713933
"AL","city","Girau do Ponciano",2702900,"2020-07-20",30,40917,"True","False",761,1859.86265,"2020-07-20",0.0079,6,62,0,1,146,55,"Girau do Ponciano",-9.884041,-36.831592
"AL","city","Ibateguara",2703007,"2020-07-20",30,15616,"True","False",153,979.76434,"2020-07-20",0.0588,9,93,0,0,146,56,"Ibateguara",-8.978232,-35.937325
"AL","city","Igaci",2703106,"2020-07-20",30,25631,"True","False",129,503.29679,"2020-07-20",0,0,71,0,0,146,57,"Igaci",-9.537678,-36.637191
"AL","city","Igreja Nova",2703205,"2020-07-20",30,24499,"True","False",220,897.99584,"2020-07-20",0.0182,4,59,0,0,146,58,"Igreja Nova",-10.123463,-36.659705
"AL","city","Importados/Indefinidos",NA,"2020-07-20",30,NA,"True","False",129,NA,"2020-07-20",0.0543,7,114,0,0,146,NA,NA,NA,NA
"AL","city","Inhapi",2703304,"2020-07-20",30,18385,"True","False",7,38.07452,"2020-07-20",0.1429,1,75,0,0,146,59,"Inhapi",-9.225936,-37.750871
"AL","city","Jacaré dos Homens",2703403,"2020-07-20",30,5253,"True","False",22,418.8083,"2020-07-20",0.0455,1,59,0,0,146,60,"Jacaré dos Homens",-9.635446,-37.207636
"AL","city","Jacuípe",2703502,"2020-07-20",30,7021,"True","False",54,769.12121,"2020-07-20",0.0185,1,66,0,0,146,61,"Jacuípe",-8.83951,-35.459074
"AL","city","Japaratinga",2703601,"2020-07-20",30,8361,"True","False",111,1327.59239,"2020-07-20",0.027,3,72,0,0,146,62,"Japaratinga",-9.087464,-35.263403
"AL","city","Jaramataia",2703700,"2020-07-20",30,5770,"True","False",28,485.26863,"2020-07-20",0,0,80,0,0,146,63,"Jaramataia",-9.662243,-37.004558
"AL","city","Jequiá da Praia",2703759,"2020-07-20",30,11580,"True","False",291,2512.95337,"2020-07-20",0.0206,6,80,0,0,146,NA,NA,NA,NA
"AL","city","Joaquim Gomes",2703809,"2020-07-20",30,23993,"True","False",198,825.2407,"2020-07-20",0.0505,10,81,0,0,146,65,"Joaquim Gomes",-9.132805,-35.747381
"AL","city","Jundiá",2703908,"2020-07-20",30,4155,"True","False",23,553.54994,"2020-07-20",0.1304,3,69,0,0,146,66,"Jundiá",-8.932968,-35.566925
