"state","place_type","city","city_ibge_code","date","epidemiological_week","estimated_population_2019","is_last","is_repeated","last_available_confirmed","last_available_confirmed_per_100k_inhabitants","last_available_date","last_available_death_rate","last_available_deaths","order_for_place","new_confirmed","new_deaths","tempo","id_municipio","municipio","latitude","longitude"
"AC","city","Acrelândia",1200013,"2020-07-28",31,15256,"True","False",271,1776.35029,"2020-07-28",0.0185,5,122,17,0,154,2,"Acrelândia",-9.825808,-66.897166
"AC","city","Assis Brasil",1200054,"2020-07-28",31,7417,"True","False",305,4112.17473,"2020-07-28",0.0164,5,89,24,0,154,3,"Assis Brasil",-10.929765,-69.573794
"AC","city","Brasiléia",1200104,"2020-07-28",31,26278,"True","False",760,2892.15313,"2020-07-28",0.0145,11,81,48,2,154,4,"Brasiléia",-10.994994,-68.749696
"AC","city","Bujari",1200138,"2020-07-28",31,10266,"True","False",313,3048.89928,"2020-07-28",0.016,5,112,2,0,154,5,"Bujari",-9.815277,-67.955029
"AC","city","Capixaba",1200179,"2020-07-28",31,11733,"True","False",204,1738.68576,"2020-07-28",0.0343,7,82,0,0,154,6,"Capixaba",-10.566031,-67.686006
"AC","city","Cruzeiro do Sul",1200203,"2020-07-28",31,88376,"True","False",2658,3007.60387,"2020-07-28",0.0192,51,107,30,0,154,7,"Cruzeiro do Sul",-7.627625,-72.675582
"AC","city","Epitaciolândia",1200252,"2020-07-28",31,18411,"True","False",328,1781.54364,"2020-07-28",0.0274,9,83,25,0,154,8,"Epitaciolândia",-11.018771,-68.734109
"AC","city","Feijó",1200302,"2020-07-28",31,34780,"True","False",617,1774.00805,"2020-07-28",0.013,8,88,0,0,154,9,"Feijó",-8.170536,-70.350973
"AC","city","Jordão",1200328,"2020-07-28",31,8317,"True","False",72,865.69677,"2020-07-28",0.0139,1,72,0,0,154,10,"Jordão",-9.430912,-71.897391
"AC","city","Mâncio Lima",1200336,"2020-07-28",31,18977,"True","False",317,1670.44317,"2020-07-28",0.0221,7,91,2,0,154,11,"Mâncio Lima",-7.616575,-72.899708
"AC","city","Manoel Urbano",1200344,"2020-07-28",31,9459,"True","False",138,1458.92801,"2020-07-28",0.0145,2,77,13,0,154,12,"Manoel Urbano",-8.832911,-69.267862
"AC","city","Marechal Thaumaturgo",1200351,"2020-07-28",31,18867,"True","False",254,1346.26597,"2020-07-28",0.0039,1,78,5,0,154,13,"Marechal Thaumaturgo",-8.938983,-72.799704
"AC","city","Plácido de Castro",1200385,"2020-07-28",31,19761,"True","False",355,1796.46779,"2020-07-28",0.0197,7,114,3,0,154,14,"Plácido de Castro",-10.28064,-67.137133
"AC","city","Porto Acre",1200807,"2020-07-28",31,18504,"True","False",412,2226.54561,"2020-07-28",0.0291,12,122,67,0,154,15,"Porto Acre",-9.581378,-67.547815
"AC","city","Porto Walter",1200393,"2020-07-28",31,11982,"True","False",183,1527.29094,"2020-07-28",0.0055,1,77,0,0,154,16,"Porto Walter",-8.263233,-72.753747
"AC","city","Rio Branco",1200401,"2020-07-28",31,407319,"True","False",8808,2162.43288,"2020-07-28",0.0375,330,134,32,5,154,17,"Rio Branco",-9.97499,-67.824348
"AC","city","Rodrigues Alves",1200427,"2020-07-28",31,18930,"True","False",124,655.0449,"2020-07-28",0.0323,4,78,1,0,154,18,"Rodrigues Alves",-7.738638,-72.661015
"AC","city","Santa Rosa do Purus",1200435,"2020-07-28",31,6540,"True","False",182,2782.87462,"2020-07-28",0.011,2,82,0,0,154,19,"Santa Rosa do Purus",-9.446515,-70.49025
"AC","city","Sena Madureira",1200500,"2020-07-28",31,45848,"True","False",969,2113.5055,"2020-07-28",0.0093,9,86,21,0,154,21,"Sena Madureira",-9.063499,-68.671278
"AC","city","Senador Guiomard",1200450,"2020-07-28",31,23024,"True","False",343,1489.74983,"2020-07-28",0.0233,8,101,11,0,154,20,"Senador Guiomard",-10.149686,-67.736185
"AC","city","Tarauacá",1200609,"2020-07-28",31,42567,"True","False",1126,2645.24162,"2020-07-28",0.0089,10,88,34,0,154,22,"Tarauacá",-8.156975,-70.772154
"AC","city","Xapuri",1200708,"2020-07-28",31,19323,"True","False",393,2033.84568,"2020-07-28",0.0127,5,91,14,0,154,23,"Xapuri",-10.651598,-68.496857
"AC","state","",12,"2020-07-29",31,881935,"True","False",19366,2195.85344,"2020-07-29",0.0263,510,135,234,10,155,NA,NA,-8.77,-70.55
"AL","city","Água Branca",2700102,"2020-07-29",31,20196,"True","False",61,302.04001,"2020-07-29",0,0,57,1,0,155,24,"Água Branca",-9.261996,-37.937988
"AL","city","Anadia",2700201,"2020-07-29",31,17545,"True","False",361,2057.56626,"2020-07-29",0.0139,5,98,26,0,155,25,"Anadia",-9.684886,-36.307783
"AL","city","Arapiraca",2700300,"2020-07-29",31,231747,"True","False",4871,2101.86108,"2020-07-29",0.0205,100,103,203,3,155,26,"Arapiraca",-9.754866,-36.661471
"AL","city","Atalaia",2700409,"2020-07-29",31,47185,"True","False",486,1029.98834,"2020-07-29",0.0329,16,95,1,0,155,27,"Atalaia",-9.511898,-36.008552
"AL","city","Barra de Santo Antônio",2700508,"2020-07-29",31,15932,"True","False",110,690.43435,"2020-07-29",0.0636,7,98,0,0,155,28,"Barra de Santo Antônio",-9.402297,-35.510083
"AL","city","Barra de São Miguel",2700607,"2020-07-29",31,8322,"True","False",120,1441.96107,"2020-07-29",0.0417,5,92,2,0,155,29,"Barra de São Miguel",-9.83842,-35.905667
"AL","city","Batalha",2700706,"2020-07-29",31,18232,"True","False",315,1727.73146,"2020-07-29",0.019,6,92,7,0,155,30,"Batalha",-9.674195,-37.133014
"AL","city","Belém",2700805,"2020-07-29",31,4344,"True","False",47,1081.95212,"2020-07-29",0.0213,1,69,0,0,155,31,"Belém",-9.570472,-36.490399
"AL","city","Belo Monte",2700904,"2020-07-29",31,6704,"True","False",41,611.57518,"2020-07-29",0.0488,2,63,5,0,155,32,"Belo Monte",-9.822718,-37.277014
"AL","city","Boca da Mata",2701001,"2020-07-29",31,27281,"True","False",971,3559.25369,"2020-07-29",0.0165,16,106,31,0,155,33,"Boca da Mata",-9.643082,-36.212498
"AL","city","Branquinha",2701100,"2020-07-29",31,10494,"True","False",134,1276.92014,"2020-07-29",0.0373,5,92,4,0,155,34,"Branquinha",-9.23342,-36.016152
"AL","city","Cacimbinhas",2701209,"2020-07-29",31,10858,"True","False",118,1086.75631,"2020-07-29",0.0169,2,82,2,0,155,35,"Cacimbinhas",-9.401212,-36.991082
"AL","city","Cajueiro",2701308,"2020-07-29",31,21264,"True","False",171,804.17607,"2020-07-29",0.0643,11,81,0,0,155,36,"Cajueiro",-9.399402,-36.155937
"AL","city","Campestre",2701357,"2020-07-29",31,6936,"True","False",64,922.72203,"2020-07-29",0.0469,3,84,0,0,155,37,"Campestre",-8.847228,-35.56847
"AL","city","Campo Alegre",2701407,"2020-07-29",31,57063,"True","False",1034,1812.03232,"2020-07-29",0.0203,21,90,8,0,155,38,"Campo Alegre",-9.784512,-36.352461
"AL","city","Campo Grande",2701506,"2020-07-29",31,9558,"True","False",151,1579.82842,"2020-07-29",0.0066,1,85,1,0,155,39,"Campo Grande",-9.955423,-36.792608
"AL","city","Canapi",2701605,"2020-07-29",31,17722,"True","False",34,191.85194,"2020-07-29",0.0882,3,83,5,0,155,40,"Canapi",-9.119319,-37.5967
"AL","city","Capela",2701704,"2020-07-29",31,17053,"True","False",483,2832.34621,"2020-07-29",0.0083,4,100,2,0,155,41,"Capela",-9.415041,-36.082583
"AL","city","Carneiros",2701803,"2020-07-29",31,9081,"True","False",48,528.57615,"2020-07-29",0,0,76,1,0,155,42,"Carneiros",-9.484762,-37.377303
"AL","city","Chã Preta",2701902,"2020-07-29",31,7311,"True","False",27,369.30652,"2020-07-29",0,0,64,0,0,155,43,"Chã Preta",-9.255605,-36.298334
"AL","city","Coité do Nóia",2702009,"2020-07-29",31,10693,"True","False",115,1075.46993,"2020-07-29",0.0174,2,84,-1,0,155,44,"Coité do Nóia",-9.633484,-36.584493
"AL","city","Colônia Leopoldina",2702108,"2020-07-29",31,21698,"True","False",223,1027.74449,"2020-07-29",0.0359,8,90,1,0,155,45,"Colônia Leopoldina",-8.918058,-35.721414
"AL","city","Coqueiro Seco",2702207,"2020-07-29",31,5845,"True","False",155,2651.83918,"2020-07-29",0.0323,5,89,0,0,155,46,"Coqueiro Seco",-9.637147,-35.799377
"AL","city","Coruripe",2702306,"2020-07-29",31,56933,"True","False",1149,2018.1617,"2020-07-29",0.0209,24,92,4,0,155,47,"Coruripe",-10.127632,-36.171724
"AL","city","Craíbas",2702355,"2020-07-29",31,24219,"True","False",480,1981.91503,"2020-07-29",0.0125,6,82,19,0,155,48,"Craíbas",-9.617798,-36.769726
"AL","city","Delmiro Gouveia",2702405,"2020-07-29",31,52016,"True","False",514,988.15749,"2020-07-29",0.0214,11,97,11,0,155,49,"Delmiro Gouveia",-9.385336,-37.998676
